Entity,Code,Year,Share - Question: mh8c - Talked to friends or family when anxious/depressed - Answer: Yes - Gender: all - Age_group: all
Africa,,2020,79.290146
Albania,ALB,2020,86.524994
Argentina,ARG,2020,71.9629
Asia,,2020,77.5206
Australia,AUS,2020,83.661896
Austria,AUT,2020,87.92614
Bahrain,BHR,2020,79.08222
Bangladesh,BGD,2020,65.628235
Belgium,BEL,2020,76.020325
Benin,BEN,2020,87.50481
Bolivia,BOL,2020,81.56846
Bosnia and Herzegovina,BIH,2020,89.42567
Brazil,BRA,2020,71.42405
Bulgaria,BGR,2020,85.093575
Burkina Faso,BFA,2020,81.40154
Cameroon,CMR,2020,86.43171
Canada,CAN,2020,84.21834
Chile,CHL,2020,84.13164
China,CHN,2020,63.353428
Colombia,COL,2020,85.64458
Congo,COG,2020,79.193275
Costa Rica,CRI,2020,75.73848
Cote d'Ivoire,CIV,2020,81.8161
Croatia,HRV,2020,87.80805
Cyprus,CYP,2020,78.24367
Czechia,CZE,2020,78.785194
Denmark,DNK,2020,76.89948
Dominican Republic,DOM,2020,89.972916
Ecuador,ECU,2020,87.61079
Egypt,EGY,2020,72.08198
El Salvador,SLV,2020,83.997345
Estonia,EST,2020,74.37608
Ethiopia,ETH,2020,72.80364
Europe,,2020,77.74236
Finland,FIN,2020,85.083595
France,FRA,2020,71.624275
Gabon,GAB,2020,82.5198
Georgia,GEO,2020,85.06311
Germany,DEU,2020,87.444565
Ghana,GHA,2020,67.62067
Greece,GRC,2020,77.88381
Guinea,GIN,2020,79.842705
High-income countries,,2020,79.206436
Hong Kong,HKG,2020,71.51011
Hungary,HUN,2020,70.5068
India,IND,2020,82.82279
Indonesia,IDN,2020,84.52044
Iran,IRN,2020,79.12761
Iraq,IRQ,2020,76.73829
Ireland,IRL,2020,82.88917
Italy,ITA,2020,85.10426
Jordan,JOR,2020,67.017586
Kazakhstan,KAZ,2020,70.82149
Kenya,KEN,2020,87.82827
Kosovo,OWID_KOS,2020,76.02753
Kyrgyzstan,KGZ,2020,65.83268
Laos,LAO,2020,95.364044
Latvia,LVA,2020,73.28339
Lebanon,LBN,2020,60.212986
Low-income countries,,2020,77.10451
Lower-middle-income countries,,2020,81.32298
Malaysia,MYS,2020,82.908806
Mali,MLI,2020,82.08106
Malta,MLT,2020,82.68385
Mauritius,MUS,2020,86.92501
Mexico,MEX,2020,78.055336
Moldova,MDA,2020,84.50433
Mongolia,MNG,2020,79.32224
Morocco,MAR,2020,73.616425
Myanmar,MMR,2020,73.42707
Nepal,NPL,2020,83.74065
Netherlands,NLD,2020,82.921455
New Zealand,NZL,2020,75.589424
Nicaragua,NIC,2020,85.740456
Nigeria,NGA,2020,81.09143
North America,,2020,80.36922
North Macedonia,MKD,2020,84.93578
Norway,NOR,2020,75.18707
Oceania,,2020,82.779366
Paraguay,PRY,2020,76.89931
Peru,PER,2020,84.922966
Philippines,PHL,2020,94.9963
Poland,POL,2020,84.898705
Portugal,PRT,2020,78.639946
Romania,ROU,2020,83.580925
Russia,RUS,2020,72.52477
Saudi Arabia,SAU,2020,68.85982
Senegal,SEN,2020,73.58441
Slovakia,SVK,2020,84.32788
South Africa,ZAF,2020,83.09552
South America,,2020,77.21828
South Korea,KOR,2020,58.99228
Spain,ESP,2020,87.31633
Sri Lanka,LKA,2020,84.744804
Sweden,SWE,2020,90.40839
Switzerland,CHE,2020,75.75294
Tanzania,TZA,2020,80.421844
Thailand,THA,2020,81.801636
Tunisia,TUN,2020,67.43499
Turkey,TUR,2020,74.642845
Uganda,UGA,2020,81.37971
Ukraine,UKR,2020,68.07142
United Arab Emirates,ARE,2020,79.77137
United Kingdom,GBR,2020,72.84443
United States,USA,2020,80.09102
Upper-middle-income countries,,2020,72.22729
Uruguay,URY,2020,80.10275
Uzbekistan,UZB,2020,71.34779
Venezuela,VEN,2020,87.47985
Vietnam,VNM,2020,87.42293
World,OWID_WRL,2020,78.01984
Zambia,ZMB,2020,85.21131
Zimbabwe,ZWE,2020,93.6826
