Entity,Code,Year,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Indicator:Estimated population-based prevalence of depression,Population (historical estimates),Continent
Abkhazia,OWID_ABK,2015,,,,Asia
Afghanistan,AFG,2015,4.9447594,3.31159,33753500,Asia
Africa,,2015,,,1201108186,
Africa (IHME GBD),,2015,4.4437795,,,
Africa (UN),,2015,,,1201107968,
Akrotiri and Dhekelia,OWID_AKD,2015,,,,Asia
Aland Islands,ALA,2015,,,,Europe
Albania,ALB,2015,2.4422338,4.77728,2882482,Europe
Algeria,DZA,2015,4.076484,4.53159,39543148,Africa
America (IHME GBD),,2015,3.614284,,,
American Samoa,ASM,2015,2.6300688,,51391,Oceania
Andorra,AND,2015,3.5686946,,71766,Europe
Angola,AGO,2015,5.747701,3.64503,28127724,Africa
Anguilla,AIA,2015,,,14554,North America
Antarctica,ATA,2015,,,,Antarctica
Antigua and Barbuda,ATG,2015,2.911677,5.05867,89958,North America
Argentina,ARG,2015,2.423345,4.73135,43257064,South America
Armenia,ARM,2015,2.9542494,4.98918,2878598,Asia
Aruba,ABW,2015,,,104269,North America
Asia,,2015,,,4458250376,
Asia (IHME GBD),,2015,3.1914704,,,
Asia (UN),,2015,,,4459437568,
Australia,AUS,2015,4.5340767,5.94026,23820240,Oceania
Austria,AUT,2015,3.117166,5.07762,8642422,Europe
Austria-Hungary,OWID_AUH,2015,,,,Europe
Azerbaijan,AZE,2015,2.7152562,4.63536,9863485,Asia
Baden,OWID_BAD,2015,,,,Europe
Bahamas,BHS,2015,2.9759111,5.1832,392707,North America
Bahrain,BHR,2015,4.537678,4.75979,1362157,Asia
Bangladesh,BGD,2015,4.599187,4.07197,157830000,Asia
Barbados,BRB,2015,3.1069825,5.35136,278095,North America
Bavaria,OWID_BAV,2015,,,,Europe
Belarus,BLR,2015,3.8928354,5.57264,9700609,Europe
Belgium,BEL,2015,3.5513406,4.81365,11248306,Europe
Belize,BLZ,2015,3.27551,4.40284,359884,North America
Benin,BEN,2015,4.4371924,3.85398,10932791,Africa
Bermuda,BMU,2015,3.1673129,,63165,North America
Bhutan,BTN,2015,3.9704382,4.15376,743284,Asia
Bolivia,BOL,2015,3.4259856,4.36209,11090090,South America
Bonaire Sint Eustatius and Saba,BES,2015,,,23193,North America
Bosnia and Herzegovina,BIH,2015,2.7211125,5.06955,3524328,Europe
Botswana,BWA,2015,4.2436314,4.66097,2305177,Africa
Bouvet Island,BVT,2015,,,,Antarctica
Brazil,BRA,2015,3.8358004,5.75637,205188208,South America
British Indian Ocean Territory,IOT,2015,,,,Asia
British Virgin Islands,VGB,2015,,,29394,North America
Brunei,BRN,2015,1.5546203,4.03097,421449,Asia
Bulgaria,BGR,2015,2.6727207,5.1567,7309255,Europe
Burkina Faso,BFA,2015,4.5452776,3.60906,18718022,Africa
Burundi,BDI,2015,4.6951613,4.21757,10727153,Africa
Cambodia,KHM,2015,2.9656339,3.39658,15417527,Asia
Cameroon,CMR,2015,4.6013966,3.88461,23012650,Africa
Canada,CAN,2015,3.2546144,4.65483,35732120,North America
Cape Verde,CPV,2015,4.8981385,4.92824,552169,Africa
Cayman Islands,CYM,2015,,,60935,North America
Central African Republic,CAF,2015,5.933393,4.18762,4819341,Africa
Chad,TCD,2015,5.1447864,3.5025,14140277,Africa
Channel Islands,OWID_CIS,2015,,,,Europe
Chile,CHL,2015,3.6864562,5.00655,17870122,South America
China,CHN,2015,2.746322,4.17218,1393715456,Asia
Christmas Island,CXR,2015,,,,Asia
Cocos Islands,CCK,2015,,,,Asia
Colombia,COL,2015,2.16934,4.67554,47119728,South America
Comoros,COM,2015,4.224988,4.3628,730221,Africa
Congo,COG,2015,5.5269456,3.94981,5064390,Africa
Cook Islands,COK,2015,3.1572506,,17720,Oceania
Costa Rica,CRI,2015,3.2036433,4.69745,4895241,North America
Cote d'Ivoire,CIV,2015,3.9139864,3.79018,23596738,Africa
Croatia,HRV,2015,2.9999287,5.07759,4254821,Europe
Cuba,CUB,2015,3.7720003,5.49024,11339888,North America
Curacao,CUW,2015,,,169588,North America
Cyprus,CYP,2015,3.0200424,5.06006,1187286,Europe
Czechia,CZE,2015,2.8789806,5.16328,10523801,Europe
Czechoslovakia,OWID_CZS,2015,,,,Europe
Democratic Republic of Congo,COD,2015,5.4288607,3.76623,78656904,Africa
Denmark,DNK,2015,3.4930105,4.97833,5677795,Europe
Djibouti,DJI,2015,4.4297843,5.07172,1006266,Africa
Dominica,DMA,2015,2.993516,,70027,North America
Dominican Republic,DOM,2015,3.786363,4.66497,10405832,North America
East Germany,OWID_GDR,2015,,,,Europe
East Timor,TLS,2015,2.7985954,2.98918,1205822,Asia
Ecuador,ECU,2015,3.3338869,4.58762,16195904,South America
Egypt,EGY,2015,3.917347,3.46338,97723792,Africa
El Salvador,SLV,2015,3.417986,4.39914,6231072,North America
Equatorial Guinea,GNQ,2015,5.740454,4.18462,1346974,Africa
Eritrea,ERI,2015,4.842769,4.33094,3340005,Africa
